rank,rank_if_eligible,city_id,name,country,lat,lon,population,elevation_m,tz,microclimate_risk,microclimate_reason,coast_distance_km,relief_m,cell_elev_m,below_threshold,is_reference,comfort_hours_yr,daylight_hours_yr,comfort_fraction,worst_month_hours,best_month_hours,evenness_stat,evenness_method,evenness_factor,longest_bad_streak_days,peak_month,utci_mean_daylight_c,comfort_hours_sun,comfort_hours_shade,elev_offset_k,has_precip,month_01_hours,month_02_hours,month_03_hours,month_04_hours,month_05_hours,month_06_hours,month_07_hours,month_08_hours,month_09_hours,month_10_hours,month_11_hours,month_12_hours,pm25_ugm3,aq_factor,composite
20,21,jijiga-7269,Jijiga,Ethiopia,9.355644581416495,42.7950000680343,425845.4701,1665.36,Africa/Addis_Ababa,True,relief,195.9261555839377,620.658935546875,1736.9822998046875,False,False,3774.0708418090276,4685.65285636065,0.8054525073674261,268.44907877742367,383.82744378994994,0.11939595132832816,cv,0.8806040486716719,1.0,6,22.636290301199917,2854.3831850730294,4261.081660630217,0.46554494873046937,True,319.90047719672657,271.53107532768655,276.6146662109819,268.44907877742367,308.9551485085569,383.82744378994994,362.246347057483,367.6026272303605,316.38643996495995,279.73775064070566,297.3937238319146,321.4260632722782,8.36177993527508,1.0,3323.4620632707347
21,22,queretaro-5097,Querétaro,México,20.600188673959888,-100.41527530135005,908964.456,1861.07,America/Mexico_City,True,relief,308.37867913463106,541.0689697265625,1953.19287109375,False,False,3615.0902941557515,4691.91923708706,0.7704928647493411,258.39539908147486,339.57085885392206,0.08483836180292266,cv,0.9151616381970773,2.0,10,22.185941072764326,2777.432783599084,4035.967129953983,0.5987986621093754,True,337.25150691919305,289.9912042519763,306.88791443696766,274.0916024120627,258.39539908147486,263.67640939576995,308.19823022643453,314.0108813037755,291.84590801839647,339.57085885392206,305.1187448040338,326.05163445174503,8.561423948220066,1.0,3308.3919558299317
22,23,valparaiso-1162,Valparaíso,Chile,-33.0412475425526,-71.49847715650223,838445.6069,144.17,America/Santiago,True,coastal+relief,7.7475797635885835,514.3270874023438,195.3444061279297,False,False,4267.721276336689,4732.91736630772,0.9017104982050546,242.50970240968866,457.6938057845893,0.20311858848488357,cv,0.7968814115151164,2.0,12,14.152437924338374,4283.885240908771,3953.9235442236118,0.33263363983154304,True,451.3077243520599,393.9139851210272,407.4414772843908,341.85048700425386,303.4488103378581,242.50970240968866,252.4324775474665,283.7476078624405,321.5293089512405,381.93472037652145,429.91116930515193,457.6938057845893,11.378665048543688,0.9693629989212513,3296.675365572679
23,24,hargeisa-1900,Hargeisa,Somalia,9.56239190354867,44.061717359098694,1500449.28,1302.78,Africa/Mogadishu,False,,99.51413771585133,312.9052734375,1295.2802734375,False,False,3755.2466777008267,4697.8522996897245,0.7993539256116772,252.44665682673542,366.47244501782495,0.1248516636848804,cv,0.8751483363151196,1.0,7,22.505278149585816,2934.477385606309,4286.884606032186,-0.04874822265624982,True,356.15270807342813,325.59571664562577,302.0752588500587,260.44568681938455,278.82664860958636,344.8974124990329,366.47244501782495,336.1408858694924,252.44665682673542,263.11188637498304,315.1422343460074,353.9391377686669,8.62440938511327,1.0,3286.3978824427586
24,25,polokwane-4604,Polokwane,South Africa,-23.868099215343438,29.413345937218587,526589.9348,1269.59,Africa/Johannesburg,False,,387.7253175757459,312.1138916015625,1287.3153076171875,False,False,3571.2167141890773,4698.518935937214,0.7600728576135293,248.3597309183189,342.71746057621476,0.08733189027714272,cv,0.9126681097228573,1.0,5,21.350620211760223,2891.341376231772,3953.6732440986852,0.11521449951171928,True,285.09343130533995,248.3597309183189,276.7018910051528,292.010198128994,342.71746057621476,319.84718634308086,326.28185134118644,323.89822551296675,284.04465088648953,309.2289068757663,290.89008075088816,272.1431005446788,8.175121359223303,1.0,3259.3356079496184
25,26,cochabamba-666,Cochabamba,Bolivia,-17.401609704644173,-66.17242182110473,1357547.955,2623.85,America/La_Paz,True,relief,452.2014966583729,1841.44482421875,2967.426513671875,False,False,3723.557658265371,4704.785316663624,0.7914405031568824,215.93117533756126,354.3469416620188,0.12761642036678675,cv,0.8723835796332132,1.0,8,20.53516519717112,2818.8839749667986,3851.535774263421,2.233247338867188,True,254.71794216956786,215.93117533756126,281.2083342729383,325.4445971181976,331.11963775087685,316.7889196931714,336.7871187259689,354.3469416620188,344.71466614743167,343.0732392505561,323.3133846805453,296.11170145653705,5.940631067961166,1.0,3248.3705588882094
26,27,puebla-5853,Puebla,México,19.04322691039677,-98.20332915572241,1949859.502,2173.91,America/Mexico_City,True,relief,200.92280690541804,905.997802734375,2202.18505859375,False,False,3798.362521925272,4656.520852345318,0.8157082599581137,269.16382968526364,360.78564915903274,0.07174147197516839,cv,0.9282585280248317,1.0,3,20.857375509638317,2994.6958035586094,3920.848974184973,0.18378788085937595,True,338.89382700906776,317.479874005585,360.78564915903274,332.3558639202376,298.2237686916694,290.2064524507297,321.3990959013714,307.17241084033026,269.16382968526364,323.0330680583019,315.8814005442239,323.7672816594586,13.557184466019416,0.9209514563106797,3247.148115260882
27,28,morelia-4364,Morelia,México,19.706291613217378,-101.19938070008074,635587.9012,1928.51,America/Mexico_City,True,relief,209.7403542498393,922.5845947265625,2065.55810546875,False,False,3585.362687091735,4713.918233254243,0.7605907675272907,264.9843492135816,345.98791752362985,0.08523086066226926,cv,0.9147691393377307,1.0,1,23.39174186614639,2612.561307336392,4028.529816567119,0.890812685546875,True,345.98791752362985,289.1867920543092,301.3860809803126,278.3255932219792,265.6096942089825,264.9843492135816,288.1012012168789,298.3040387257814,282.68297607655006,328.96499181497444,304.64825763148355,337.1807944232721,10.479805825242718,0.9893376483279396,3244.808980892649
28,29,saltillo-5873,Saltillo,México,25.41976282669383,-100.98528735523263,735829.0286,1619.71,America/Monterrey,True,relief,350.75804417325367,1429.4539794921875,1823.5770263671875,False,False,3500.0953260757874,4721.7845409746305,0.7412653617933459,263.3591846485123,326.60532899252337,0.07921985028912805,cv,0.920780149710872,2.0,10,22.226233521617168,2639.803573616567,3947.750397012874,1.3251356713867184,True,316.0827699865113,290.37932728401364,326.5764965498568,307.6695712344342,270.3022473980745,263.3591846485123,264.24681512540775,272.92736123544415,266.96863571176556,326.60532899252337,291.3639084153904,303.61367949385345,9.552758899676375,1.0,3222.8182983463867
29,30,perth-498,Perth,Australia,-31.928964734607423,115.85042585687107,1357381.728,25.29,Australia/Perth,True,coastal,10.07625481191409,69.48632049560547,21.505096435546875,False,False,3772.32690654282,4721.717877349881,0.7989310256418968,239.13540864076253,385.94026527075954,0.14808220216955462,cv,0.8519177978304454,2.0,12,17.612533763631866,3459.462212269478,3821.5441965422483,-0.024601873168945305,True,354.6754587132519,292.93688476113056,324.8520184220567,321.2327302255396,302.0040700733719,250.25012026837015,239.13540864076253,262.797344480688,301.27882129944504,369.3173191538205,367.90646523362363,385.94026527075954,6.16913430420712,1.0,3213.7124309184956
